Brand,Title,Price,Size,Reviews,Stars,Category,Colors 
MAKE UP FOR EVER,aqua rouge,$24.00,2 x 0.08 oz,824 reviews,4.0607,Makeup>Lips>Lip Stain>,1 Nude Beige|13 Purple|14 Light Rosewood|15 Pink|16 Fuschia|17 Bright Orange|18 Coral|19 Pomegranate Pink|2 Rosewood|20 Baby Pink|21 Cool Candy Pink|23|3 Satin Soft Pink|4 Chestnut|8 Iconic Red
BURBERRY,lip velvet lipstick,$34.00,0.12 oz,13 reviews,4.9231,Makeup>Lips>Lipstick>,Bright Rose No. 417|Damson No. 425|Honey Suckle No. 409|Military Red No. 429|Nude Apricot No. 401|Nude Rose No. 405|Oxblood No. 437|Pomegranate Pink No. 413|Poppy Red No. 433|Rosewood No. 421
MAKE UP FOR EVER,artist plexi gloss,$19.00,0.23 oz,186 reviews,3.5699,Makeup>Lips>Lip Gloss>,0|100P|101|102P|103|104|105P|200|201|202|203P|204|205P|206|207|208P|209|300P|301P|302P|303P|304|305|306|400|401P|402P|403|404|405P|406|500|501|502P|503
Urban Decay,naked palette,$54.00,,7371 reviews,4.7943,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,
Giorgio Armani,lasting silk uv foundation spf 20,$62.00,1 oz,23 reviews,4.6957,Makeup>Face Makeup>Foundation>,2|4|4.5|5|5.5|5.75|6|6.5|7
Urban Decay,naked2,$54.00,,5758 reviews,4.6947,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,
Bobbi Brown,lash glamour extreme lengthening mascara,$26.00,0.24 oz,53 reviews,4.0943,Makeup>Eye Makeup>Mascara>,Black
Dior,creme de rose smoothing plumping lip balm,$28.00,0.25 oz,881 reviews,4.3053,Makeup>Lips>Lip Plumper>,
Laura Mercier,4 pack sponge,$15.00,,241 reviews,4.5021,Makeup>Face Makeup>Makeup Sponges & Applicators>,
SEPHORA COLLECTION,hakuho do sephora pro small teardrop pointed highlighter kotsubu,$38.00,,7 reviews,4.0,Makeup>Face Makeup>Face Brushes>,
Urban Decay,naked2 basics,$29.00,,752 reviews,4.4481,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,
SEPHORA COLLECTION,triple action cleansing water,$12.00,60 Cotton Pads,631 reviews,4.2805,Skin Care>Face Wash & Cleanser>,
Sephora Favorites,time to prime,$25.00,,32 reviews,4.375,Makeup>Palettes & Value Sets>Value Sets>,
Smashbox,smashbox donald robertson 58 be legendary lipstick,$20.00,0.10 oz,28 reviews,4.2143,Makeup>Lips>Lipstick>,
Bobbi Brown,telluride eye palette,$52.00,,11 reviews,3.7273,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,
SEPHORA COLLECTION,dramatic performance longwear lash kit,$11.00,,10 reviews,3.0,Makeup>Eye Makeup>False Eyelashes>,
Givenchy,teint couture blurring foundation balm broad spectrum 15,$43.00,1 oz,16 reviews,4.625,Makeup>Face Makeup>Foundation>,1 Nude Porcelain|2 Nude Shell|3 Nude Sand|4 Nude Beige|5 Nude Honey|6 Nude Gold|7 Nude Ginger|8 Nude Amber
Estée Lauder,pure color envy shine sculpting shine lipstick,$30.00,0.1 oz,13 reviews,4.0,Makeup>Lips>Lipstick>,Baby Cashmere|Blossom Bright|Boudoir Baby|Charmed|Empowered|Fairest|Heavenly|Innocent|Inspiring|Intriguing|Mischievous Rose|Obsessed|Passionate|Pink Dragon|Suggestive|Surreal Sun
BURBERRY,effortless liquid eyeliner,$34.00,0.03 oz,1 review,5.0,Makeup>Eye Makeup>Eyeliner>,Jet Black No. 01
Laura Mercier,camouflage powder brush,$28.00,,26 reviews,4.6923,Makeup>Face Makeup>Face Brushes>,
Too Faced,melted liquified long wear lipstick,$21.00,0.4 oz,1563 reviews,3.9008,Makeup>Lips>Lipstick>,Melted Berry|Melted Candy|Melted Chihuahua|Melted Fig|Melted Frosting|Melted Jelly Donut|Melted Marshmallow|Melted Melon|Melted Nude|Melted Peony|Melted Rainbow|Melted Ruby|Melted Strawberry|Melted Sugar|Melted Velvet|Melted Villian|Melted Violet
Marc Jacobs Beauty,twinkle pop eye stick,$28.00,0.05 oz,142 reviews,4.2606,Makeup>Eye Makeup>Eyeshadow>,Au Revoir 406|Frannie 408|Honey Bunny 400|Leila 416|On The Verge 412|Shoshanna 414|Stardust 410|Three Shakes 404|Volver 402
Estée Lauder,bronze goddess shimmering nudes eyeshadow palette,$55.00,,4 reviews,4.0,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,
bareMinerals,,$20.00,0.05 oz,187 reviews,4.5134,Makeup>Face Makeup>Bronzer>,Faux Tan
Fresh,sugar rose tinted lip treatment spf 15,$22.50,0.15 oz,2445 reviews,4.4716,Makeup>Lips>Lip Balm & Treatments>,Sugar|Sugar Ros&#233; Tinted
Shiseido,pureness oil control blotting paper,$18.50,,342 reviews,4.7485,Makeup>Face Makeup>Oil Control & Blotting Paper>,
Estée Lauder,sumptuous bold volume lifting mascara,$24.00,0.21 oz,16 reviews,4.375,Makeup>Eye Makeup>Mascara>,Black
Guerlain,maxilash intense volumizing mascara,$30.00,,88 reviews,4.4773,Makeup>Eye Makeup>Mascara>,
bareMinerals,prime time eyelid primer brightening,$18.00,0.1 oz,179 reviews,4.0894,Makeup>Eye Makeup>Eyeshadow Primer & Base>,Gold|Pearl
Lancôme,drama liqui pencil longwear eyeliner,$23.00,0.042 oz,52 reviews,4.2115,Makeup>Eye Makeup>Eyeliner>,Ampoul&eacute;|Baroque|Br&ucirc;l&eacute;e|C&ocirc;te D'azur|Embrase|French lace|Lam&eacute;|Lumi&eacute;re|Macaron|Minuit|Noir Intense|Pacifique|Parad&iacute;s|Parisian Night|Pluie|Soleil
SEPHORA COLLECTION,full action extreme effect mascara,$12.00,,966 reviews,3.8251,Makeup>Eye Makeup>Mascara>,01 Black|03 Brown|04 Blue|05 Purple
NARS,contour blush,$42.00,0.28 oz,237 reviews,4.3207,Makeup>Face Makeup>Contour>,Gienah|Olympia|Paloma
